id,BookTitle,Author,Year,GivenRating,ReviewText,ReviewDate
1,Where the Wild Things Are,Maurice Sendak,1963,3.2,This book was BORING.  [Review]  'Where the Wild Things Are' by Maurice Sendak !!! @friend,2023-11-15
2,The Very Hungry Caterpillar,Eric Carle,1969,4.3,This book was LOVED IT.  [Review]  'The Very Hungry Caterpillar' by Eric Carle !!! ✨,2025-01-31
3,The Giving Tree,Shel Silverstein,1964,3.4,This book was SO BAD.  [note]  'The Giving Tree' by Shel Silverstein @@@ #reading,2024-03-18
4,Green Eggs and Ham,Dr. Seuss,1960,3.3,This book was LOVED IT.  [note]  'Green Eggs and Ham' by Dr. Seuss ... 💯,2023-10-09
5,Goodnight Moon,Margaret Wise Brown,1947,5.0,This book was MAGICAL.  [skip this part]  'Goodnight Moon' by Margaret Wise Brown ### @friend,2023-07-25
6,Charlotte’s Web,E.B. White,1952,4.2,This book was AMAZING.  [skip this part]  'Charlotte’s Web' by E.B. White ??? 💯,2023-10-16
7,"The Cat in the Hat (Cat in the Hat, #1)",Dr. Seuss,1957,3.2,"This book was LOVED IT.  [spoiler]  'The Cat in the Hat (Cat in the Hat, #1)' by Dr. Seuss @@@ @friend",2025-08-17
8,Where the Sidewalk Ends,Shel Silverstein,1974,5.0,This book was LOVED IT.  [spoiler]  'Where the Sidewalk Ends' by Shel Silverstein @@@ @friend,2024-11-12
9,If You Give a Mouse a Cookie,Laura Joffe Numeroff,1985,4.3,This book was AMAZING.  [spoiler]  'If You Give a Mouse a Cookie' by Laura Joffe Numeroff ... @friend,2023-06-02
10,Love You Forever,Robert Munsch,1986,4.4,This book was AMAZING.  [spoiler]  'Love You Forever' by Robert Munsch ### @friend,2025-05-17
11,Corduroy,Don Freeman,1968,5.0,This book was AMAZING.  [skip this part]  'Corduroy' by Don Freeman ### @friend,2023-09-25
12,The Lorax,Dr. Seuss,1971,5.0,This book was SO BAD.  [Review]  'The Lorax' by Dr. Seuss ... @friend,2023-02-13
13,Madeline,Ludwig Bemelmans,1939,3.3,This book was SO BAD.  [skip this part]  'Madeline' by Ludwig Bemelmans @@@ #reading,2024-04-22
